"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"5-Aminoimidazole-4-carboxamide ribotide"," 1.53248840"," 0.07297564","-0.65678074","-1.38653713"," 0.07297564"," 0.80273202","-0.65678074","-0.65678074"," 1.53248840","-0.65678074"
"5,6,7,8-Tetrahydrobiopterin"," 1.0485849"," 1.0485849"," 2.0766093","-0.5962542","-0.5962542","-0.5962542","-0.5962542","-0.5962542","-0.5962542","-0.5962542"
"4-Guanidinobutyric acid","-0.6043351"," 1.8280511"," 1.6525181"," 0.4154282","-0.2198342","-1.0139122","-0.8885315","-0.5458241","-0.4371608","-0.1863994"
"4-Amino-3-hydroxybutyric acid"," 0.0"," 1.5"," 0.0"," 0.0"," 0.0"," 1.5","-1.5"," 0.0"," 0.0","-1.5"
"3-Ureidopropionic acid"," 0.5335918","-0.1016365"," 0.5335918","-0.1016365","-0.7368649","-2.2614129","-0.1016365","-0.1016365"," 1.1688202"," 1.1688202"
"3-Phosphoglyceric acid"," 1.2363176"," 0.4629478"," 0.2588641"," 1.7518976"," 0.5488778","-0.8474845","-1.0623094","-1.0300857","-0.5145058","-0.8045195"
"3-Indoxylsulfuric acid","-0.7185643"," 1.0778465"," 1.6766500"," 0.1796411","-0.7185643","-1.3173679","-0.7185643","-0.7185643"," 0.1796411"," 1.0778465"
"3-Hydroxybutyric acid","-0.5015720","-1.0646075","-0.8809760","-0.9447158","-1.0448785"," 0.7322496"," 1.7035237"," 0.4347969"," 0.8050952"," 0.7610843"
"3-Hydroxy-3-methylglutaric acid","-0.87449407","-0.87449407","-0.87449407","-0.66628120","-0.61422798"," 0.01041064"," 0.94736858"," 2.14459261"," 0.58299605"," 0.21862352"
"3'-Dephospho CoA"," 2.0481551"," 1.1086344"," 0.1691137","-0.3945987","-0.2066945","-0.2066945","-0.9583111","-0.2066945","-1.5220235"," 0.1691137"
